post_code,insee_code,city_label
75001,75101,paris 1er arrondissement
75002,75102,paris 2e arrondissement
75003,75103,paris 3e arrondissement
75004,75104,paris 4e arrondissement
75005,75105,paris 5e arrondissement
75006,75106,paris 6e arrondissement
75007,75107,paris 7e arrondissement
75008,75108,paris 8e arrondissement
75009,75109,paris 9e arrondissement
75010,75110,paris 10e arrondissement
75011,75111,paris 11e arrondissement
75012,75112,paris 12e arrondissement
75013,75113,paris 13e arrondissement
75014,75114,paris 14e arrondissement
75015,75115,paris 15e arrondissement
75016,75116,paris 16e arrondissement
75017,75117,paris 17e arrondissement
75018,75118,paris 18e arrondissement
75019,75119,paris 19e arrondissement
75020,75120,paris 20e arrondissement
77760,77001,achères-la-forêt
77120,77002,amillis
77760,77003,amponville
77390,77004,andrezel
77410,77005,annet-sur-marne
77630,77006,arbonne-la-forêt
77390,77007,argentières
77440,77008,armentières-en-brie
77890,77009,arville
77720,77010,aubepierre-ozouer-le-repos
77570,77011,aufferville
77560,77012,augers-en-brie
77120,77013,aulnoy
77210,77014,avon
77480,77015,baby
77167,77016,bagneaux-sur-loing
77700,77018,bailly-romainvilliers
77118,77019,balloy
77970,77020,bannost-villegagnon
77130,77021,barbey
77630,77022,barbizon
77910,77023,barcy
77750,77024,bassevelle
77118,77025,bazoches-lès-bray
77560,77026,beauchery-saint-martin
77890,77027,beaumont-du-gâtinais
77120,77028,beautheil
77390,77029,beauvoir
77510,77030,bellot
77540,77031,bernay-vilbert
77320,77032,beton-bazoches
77970,77033,bezalles
77115,77034,blandy
77940,77035,blennes
77970,77036,boisdon
77590,77037,bois-le-roi
77350,77038,boissettes
77350,77039,boissise-la-bertrand
77310,77040,boissise-le-roi
77760,77041,boissy-aux-cailles
77169,77042,boissy-le-châtel
77750,77043,boitron
77720,77044,bombon
77570,77045,bougligny
77760,77046,boulancourt
77580,77047,bouleurs
77780,77048,bourron-marlotte
77470,77049,boutigny
77620,77050,bransles
77480,77051,bray-sur-seine
77720,77052,bréau
77170,77053,brie-comte-robert
77940,77054,la brosse-montceaux
77177,77055,brou-sur-chantereine
77760,77056,burcy
77750,77057,bussières
77600,77058,bussy-saint-georges
77600,77059,bussy-saint-martin
77760,77060,buthiers
77130,77061,cannes-écluse
77400,77062,carnetin
77515,77063,la celle-sur-morin
77930,77065,cély
77320,77066,cerneux
77240,77067,cesson
77520,77068,cessoy-en-montois
77930,77069,chailly-en-bière
77120,77070,chailly-en-brie
77460,77071,chaintreaux
77171,77072,chalautre-la-grande
77160,77073,chalautre-la-petite
77144,77075,chalifert
77650,77076,chalmaison
77910,77077,chambry
77260,77078,chamigny
77430,77079,champagne-sur-seine
77560,77080,champcenest
77390,77081,champdeuil
77720,77082,champeaux
77420,77083,champs-sur-marne
77660,77084,changis-sur-marne
77600,77085,chanteloup-en-brie
77720,77086,la chapelle-gauthier
77540,77087,la chapelle-iger
77760,77088,la chapelle-la-reine
77370,77089,la chapelle-rablais
77160,77090,la chapelle-saint-sulpice
77610,77091,les chapelles-bourbon
77320,77093,la chapelle-moutils
77410,77094,charmentray
77410,77095,charny
77590,77096,chartrettes
77320,77097,chartronges
77370,77098,châteaubleau
77570,77099,château-landon
77820,77100,le châtelet-en-brie
77126,77101,châtenay-sur-seine
