post_code;insee_code;city_label
77090;77121;Collégien
77380;77122;Combs-la-Ville
77290;77123;Compans
77600;77124;Conches-sur-Gondoire
77450;77125;Condé-Sainte-Libiaire
77440;77126;Congis-sur-Thérouanne
77170;77127;Coubert
77860;77128;Couilly-Pont-aux-Dames
77840;77129;Coulombs-en-Valois
77580;77130;Coulommes
77120;77131;Coulommiers
77700;77132;Coupvray
77126;77133;Courcelles-en-Bassée
77560;77134;Courchamp
77540;77135;Courpalay
77390;77136;Courquetaine
77560;77137;Courtacon
77390;77138;Courtomer
77181;77139;Courtry
77154;77140;Coutençon
77580;77141;Coutevroult
77580;77142;Crécy-la-Chapelle
77124;77143;Crégy-lès-Meaux
77610;77144;Crèvecoeur-en-Brie
77390;77145;Crisenoy
77183;77146;Croissy-Beaubourg
77370;77147;La Croix-en-Brie
77840;77148;Crouy-sur-Ourcq
77160;77149;Cucharmoy
77165;77150;Cuisy
77320;77151;Dagny
77190;77152;Dammarie-les-Lys
77230;77153;Dammartin-en-Goële
77163;77154;Dammartin-sur-Tigeaux
77400;77155;Dampmart
77140;77156;Darvault
77440;77157;Dhuisy
77940;77158;Diant
77520;77159;Donnemarie-Dontilly
77130;77161;Dormelles
77510;77162;Doue
77139;77163;Douy-la-Ramée
77830;77164;Échouboulains
77820;77165;Les Écrennes
77250;77166;Écuelles
77126;77167;Égligny
77620;77168;Égreville
77184;77169;Émerainville
77250;77170;Épisy
77450;77171;Esbly
77940;77172;Esmans
77139;77173;Étrépilly
77157;77174;Everly
77166;77175;Évry-Grégy-sur-Yerre
77515;77176;Faremoutiers
77220;77177;Favières
77167;77178;Faÿ-lès-Nemours
77133;77179;Féricy
77150;77180;Férolles-Attilly
77164;77181;Ferrières-en-Brie
77320;77182;La Ferté-Gaucher
77260;77183;La Ferté-sous-Jouarre
77940;77184;Flagy
77930;77185;Fleury-en-Bière
77300;77186;Fontainebleau
77480;77187;Fontaine-Fourches
77590;77188;Fontaine-le-Port
77370;77190;Fontains
77370;77191;Fontenailles
77610;77192;Fontenay-Trésigny
77165;77193;Forfry
77130;77194;Forges
77390;77195;Fouju
77410;77196;Fresnes-sur-Marne
77320;77197;Frétoy
77760;77198;Fromont
77470;77199;Fublaines
77890;77200;Garentreville
77370;77201;Gastins
77690;77202;La Genevraye
77910;77203;Germigny-l'Évêque
77840;77204;Germigny-sous-Coulombs
77165;77205;Gesvres-le-Chapitre
77120;77206;Giremoutiers
77890;77207;Gironville
77114;77208;Gouaix
77400;77209;Gouvernes
77130;77210;La Grande-Paroisse
77720;77211;Grandpuits-Bailly-Carrois
77118;77212;Gravon
77410;77214;Gressy
77220;77215;Gretz-Armainvilliers
77880;77216;Grez-sur-Loing
77166;77217;Grisy-Suisnes
77480;77218;Grisy-sur-Seine
77580;77219;Guérard
77760;77220;Guercheville
77600;77221;Guermantes
77390;77222;Guignes
77520;77223;Gurcy-le-Châtel
77515;77224;Hautefeuille
77580;77225;La Haute-Maison
77850;77226;Héricy
77114;77227;Hermé
77510;77228;Hondevilliers
77610;77229;La Houssaye-en-Brie
77890;77230;Ichy
77440;77231;Isles-les-Meldeuses
77450;77232;Isles-lès-Villenoy
77165;77233;Iverny
77450;77234;Jablines
77440;77235;Jaignes
77480;77236;Jaulnes
77600;77237;Jossigny
77640;77238;Jouarre
77970;77239;Jouy-le-Châtel
77320;77240;Jouy-sur-Morin
77230;77241;Juilly
77650;77242;Jutigny
77400;77243;Lagny-sur-Marne
77760;77244;Larchant
77148;77245;Laval-en-Brie
77171;77246;Léchelle
77320;77247;Lescherolles
77450;77248;Lesches
77150;77249;Lésigny
77320;77250;Leudon-en-Brie
