surface_class,rent_min,rent_avg,rent_max,post_code,insee_code,city_label
1,884, 1247,1750,75001,75101,Paris 1er Arrondissement
2,1040, 1508,2400,75001,75101,Paris 1er Arrondissement
3,1200, 1698,2100,75001,75101,Paris 1er Arrondissement
1,900, 1222,1890,75002,75102,Paris 2e Arrondissement
2,850, 1415,1950,75002,75102,Paris 2e Arrondissement
3,1850, 1866,1875,75002,75102,Paris 2e Arrondissement
1,1050, 1183,1290,75003,75103,Paris 3e Arrondissement
2,1000, 1497,2200,75003,75103,Paris 3e Arrondissement
3,1000,,2200,75003,75103,Paris 3e Arrondissement
1,1100, 1212,1290,75004,75104,Paris 4e Arrondissement
2,1130, 1527,2100,75004,75104,Paris 4e Arrondissement
3,1130,,2100,75004,75104,Paris 4e Arrondissement
1,890, 1136,1400,75005,75105,Paris 5e Arrondissement
2,1050, 1408,2250,75005,75105,Paris 5e Arrondissement
3,1500, 1533,1550,75005,75105,Paris 5e Arrondissement
1,850, 1128,1300,75006,75106,Paris 6e Arrondissement
2,1200, 1527,2000,75006,75106,Paris 6e Arrondissement
3,2100, 2203,2300,75006,75106,Paris 6e Arrondissement
1,900, 1097,1400,75007,75107,Paris 7e Arrondissement
2,1000, 1486,1990,75007,75107,Paris 7e Arrondissement
3,2500, 2738,2950,75007,75107,Paris 7e Arrondissement
1,950, 1169,1420,75008,75108,Paris 8e Arrondissement
2,1250, 1672,2500,75008,75108,Paris 8e Arrondissement
3,1960, 2583,3300,75008,75108,Paris 8e Arrondissement
1,890, 1058,1300,75009,75109,Paris 9e Arrondissement
2,1000, 1421,1995,75009,75109,Paris 9e Arrondissement
3,1925, 1936,1940,75009,75109,Paris 9e Arrondissement
1,880, 1020,1300,75010,75110,Paris 10e Arrondissement
2,912, 1313,1790,75010,75110,Paris 10e Arrondissement
3,1700, 1703,1705,75010,75110,Paris 10e Arrondissement
1,765, 971,1270,75011,75111,Paris 11e Arrondissement
2,900, 1346,1950,75011,75111,Paris 11e Arrondissement
3,1500, 1866,2200,75011,75111,Paris 11e Arrondissement
1,700, 929,1140,75012,75112,Paris 12e Arrondissement
2,890, 1316,1950,75012,75112,Paris 12e Arrondissement
3,1550, 1878,2200,75012,75112,Paris 12e Arrondissement
1,790, 943,1150,75013,75113,Paris 13e Arrondissement
2,767, 1293,1690,75013,75113,Paris 13e Arrondissement
3,1310, 1527,1730,75013,75113,Paris 13e Arrondissement
1,850, 1021,1290,75014,75114,Paris 14e Arrondissement
2,795, 1299,2139,75014,75114,Paris 14e Arrondissement
3,1500, 1603,1800,75014,75114,Paris 14e Arrondissement
1,720, 1043,1490,75015,75115,Paris 15e Arrondissement
2,850, 1385,2200,75015,75115,Paris 15e Arrondissement
3,1590, 1803,2150,75015,75115,Paris 15e Arrondissement
1,730, 1112,1550,75016,75116,Paris 16e Arrondissement
2,1000, 1502,2380,75016,75116,Paris 16e Arrondissement
3,1650, 1912,2400,75016,75116,Paris 16e Arrondissement
1,795, 1030,1400,75017,75117,Paris 17e Arrondissement
2,960, 1370,2250,75017,75117,Paris 17e Arrondissement
3,1750, 1988,2350,75017,75117,Paris 17e Arrondissement
1,680, 955,1245,75018,75118,Paris 18e Arrondissement
2,860, 1215,2220,75018,75118,Paris 18e Arrondissement
3,1330, 1848,2700,75018,75118,Paris 18e Arrondissement
1,745, 924,1200,75019,75119,Paris 19e Arrondissement
2,850, 1213,1695,75019,75119,Paris 19e Arrondissement
3,1500, 1607,1700,75019,75119,Paris 19e Arrondissement
1,750, 956,1250,75020,75120,Paris 20e Arrondissement
2,650, 1217,1650,75020,75120,Paris 20e Arrondissement
3,1350, 1708,1970,75020,75120,Paris 20e Arrondissement
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77760,77001,Achères-la-Forêt
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77760,77001,Achères-la-Forêt
3,pour communiquer des données fiables,,pour communiquer des données fiables,77760,77001,Achères-la-Forêt
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77120,77002,Amillis
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77120,77002,Amillis
3,pour communiquer des données fiables,,pour communiquer des données fiables,77120,77002,Amillis
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77760,77003,Amponville
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77760,77003,Amponville
3,pour communiquer des données fiables,,pour communiquer des données fiables,77760,77003,Amponville
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77390,77004,Andrezel
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77390,77004,Andrezel
3,pour communiquer des données fiables,,pour communiquer des données fiables,77390,77004,Andrezel
1,Pas assez de loyer de référence,,Pas assez de loyer de référence,77410,77005,Annet-sur-Marne
2,665, 715,760,77410,77005,Annet-sur-Marne
3,665,,760,77410,77005,Annet-sur-Marne
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77630,77006,Arbonne-la-Forêt
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77630,77006,Arbonne-la-Forêt
3,pour communiquer des données fiables,,pour communiquer des données fiables,77630,77006,Arbonne-la-Forêt
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77390,77007,Argentières
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77390,77007,Argentières
3,pour communiquer des données fiables,,pour communiquer des données fiables,77390,77007,Argentières
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77440,77008,Armentières-en-Brie
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77440,77008,Armentières-en-Brie
3,pour communiquer des données fiables,,pour communiquer des données fiables,77440,77008,Armentières-en-Brie
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77890,77009,Arville
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77890,77009,Arville
3,pour communiquer des données fiables,,pour communiquer des données fiables,77890,77009,Arville
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77720,77010,Aubepierre-Ozouer-le-Repos
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77720,77010,Aubepierre-Ozouer-le-Repos
3,pour communiquer des données fiables,,pour communiquer des données fiables,77720,77010,Aubepierre-Ozouer-le-Repos
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77570,77011,Aufferville
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77570,77011,Aufferville
3,pour communiquer des données fiables,,pour communiquer des données fiables,77570,77011,Aufferville
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77560,77012,Augers-en-Brie
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77560,77012,Augers-en-Brie
3,pour communiquer des données fiables,,pour communiquer des données fiables,77560,77012,Augers-en-Brie
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77120,77013,Aulnoy
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77120,77013,Aulnoy
3,pour communiquer des données fiables,,pour communiquer des données fiables,77120,77013,Aulnoy
1,Pas assez de loyer de référence,,Pas assez de loyer de référence,77210,77014,Avon
2,490, 740,978,77210,77014,Avon
3,490,,978,77210,77014,Avon
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77480,77015,Baby
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77480,77015,Baby
3,pour communiquer des données fiables,,pour communiquer des données fiables,77480,77015,Baby
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77167,77016,Bagneaux-sur-Loing
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77167,77016,Bagneaux-sur-Loing
3,pour communiquer des données fiables,,pour communiquer des données fiables,77167,77016,Bagneaux-sur-Loing
1,Pas assez de loyer de référence,,Pas assez de loyer de référence,77700,77018,Bailly-Romainvilliers
2,730, 793,910,77700,77018,Bailly-Romainvilliers
3,950, 953,955,77700,77018,Bailly-Romainvilliers
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77118,77019,Balloy
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77118,77019,Balloy
3,pour communiquer des données fiables,,pour communiquer des données fiables,77118,77019,Balloy
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77970,77020,Bannost-Villegagnon
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77970,77020,Bannost-Villegagnon
3,pour communiquer des données fiables,,pour communiquer des données fiables,77970,77020,Bannost-Villegagnon
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77130,77021,Barbey
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77130,77021,Barbey
3,pour communiquer des données fiables,,pour communiquer des données fiables,77130,77021,Barbey
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77630,77022,Barbizon
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77630,77022,Barbizon
3,pour communiquer des données fiables,,pour communiquer des données fiables,77630,77022,Barbizon
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77910,77023,Barcy
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77910,77023,Barcy
3,pour communiquer des données fiables,,pour communiquer des données fiables,77910,77023,Barcy
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77750,77024,Bassevelle
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77750,77024,Bassevelle
3,pour communiquer des données fiables,,pour communiquer des données fiables,77750,77024,Bassevelle
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77118,77025,Bazoches-lès-Bray
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77118,77025,Bazoches-lès-Bray
3,pour communiquer des données fiables,,pour communiquer des données fiables,77118,77025,Bazoches-lès-Bray
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77560,77026,Beauchery-Saint-Martin
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77560,77026,Beauchery-Saint-Martin
3,pour communiquer des données fiables,,pour communiquer des données fiables,77560,77026,Beauchery-Saint-Martin
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77890,77027,Beaumont-du-Gâtinais
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77890,77027,Beaumont-du-Gâtinais
3,pour communiquer des données fiables,,pour communiquer des données fiables,77890,77027,Beaumont-du-Gâtinais
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77120,77028,Beautheil
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77120,77028,Beautheil
3,pour communiquer des données fiables,,pour communiquer des données fiables,77120,77028,Beautheil
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77390,77029,Beauvoir
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77390,77029,Beauvoir
3,pour communiquer des données fiables,,pour communiquer des données fiables,77390,77029,Beauvoir
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77510,77030,Bellot
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77510,77030,Bellot
3,pour communiquer des données fiables,,pour communiquer des données fiables,77510,77030,Bellot
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77540,77031,Bernay-Vilbert
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77540,77031,Bernay-Vilbert
3,pour communiquer des données fiables,,pour communiquer des données fiables,77540,77031,Bernay-Vilbert
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77320,77032,Beton-Bazoches
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77320,77032,Beton-Bazoches
3,pour communiquer des données fiables,,pour communiquer des données fiables,77320,77032,Beton-Bazoches
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77970,77033,Bezalles
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77970,77033,Bezalles
3,pour communiquer des données fiables,,pour communiquer des données fiables,77970,77033,Bezalles
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77115,77034,Blandy
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77115,77034,Blandy
3,pour communiquer des données fiables,,pour communiquer des données fiables,77115,77034,Blandy
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77940,77035,Blennes
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77940,77035,Blennes
3,pour communiquer des données fiables,,pour communiquer des données fiables,77940,77035,Blennes
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77970,77036,Boisdon
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77970,77036,Boisdon
3,pour communiquer des données fiables,,pour communiquer des données fiables,77970,77036,Boisdon
1,Pas assez de loyer de référence,,Pas assez de loyer de référence,77590,77037,Bois-le-Roi
2,650, 668,685,77590,77037,Bois-le-Roi
3,650,,685,77590,77037,Bois-le-Roi
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77350,77038,Boissettes
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77350,77038,Boissettes
3,pour communiquer des données fiables,,pour communiquer des données fiables,77350,77038,Boissettes
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77350,77039,Boissise-la-Bertrand
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77350,77039,Boissise-la-Bertrand
3,pour communiquer des données fiables,,pour communiquer des données fiables,77350,77039,Boissise-la-Bertrand
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77310,77040,Boissise-le-Roi
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77310,77040,Boissise-le-Roi
3,pour communiquer des données fiables,,pour communiquer des données fiables,77310,77040,Boissise-le-Roi
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77760,77041,Boissy-aux-Cailles
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77760,77041,Boissy-aux-Cailles
3,pour communiquer des données fiables,,pour communiquer des données fiables,77760,77041,Boissy-aux-Cailles
1,Pas assez de loyer de référence,,Pas assez de loyer de référence,77169,77042,Boissy-le-Châtel
2,585, 592,606,77169,77042,Boissy-le-Châtel
3,585,,606,77169,77042,Boissy-le-Châtel
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77750,77043,Boitron
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77750,77043,Boitron
3,pour communiquer des données fiables,,pour communiquer des données fiables,77750,77043,Boitron
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77720,77044,Bombon
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77720,77044,Bombon
3,pour communiquer des données fiables,,pour communiquer des données fiables,77720,77044,Bombon
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77570,77045,Bougligny
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77570,77045,Bougligny
3,pour communiquer des données fiables,,pour communiquer des données fiables,77570,77045,Bougligny
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77760,77046,Boulancourt
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77760,77046,Boulancourt
3,pour communiquer des données fiables,,pour communiquer des données fiables,77760,77046,Boulancourt
1,Pas assez de loyer de référence,,Pas assez de loyer de référence,77580,77047,Bouleurs
2,610, 673,730,77580,77047,Bouleurs
3,610,,730,77580,77047,Bouleurs
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77780,77048,Bourron-Marlotte
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77780,77048,Bourron-Marlotte
3,pour communiquer des données fiables,,pour communiquer des données fiables,77780,77048,Bourron-Marlotte
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77470,77049,Boutigny
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77470,77049,Boutigny
3,pour communiquer des données fiables,,pour communiquer des données fiables,77470,77049,Boutigny
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77620,77050,Bransles
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77620,77050,Bransles
3,pour communiquer des données fiables,,pour communiquer des données fiables,77620,77050,Bransles
